Year,Common #,Indi. #,Risk factor,Formation,Type,Journal,Short reference,Full reference,Link without href,Predictability.in.OP,Coverage,New Journal,notes
2011,NA,NA,Shareholder recovery,THEORY,Common financial,Journal of Finance,Garlappi and Yan (2011),"Garlappi, Lorenzo and Hong Yan, 2011, Financial distress and the cross-section of equity returns, Journal of Finance 66, 789-822.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2011.01652.x/full,z1_theory,not empirical,NA,NA
1980,NA,NA,Short sale restrictions,THEORY,Individual microstructure,Journal of Finance,Jarrow (1980),"Jarrow, Robert, 1980, ``Heterogeneous expectations, restrictions on short sales, and equilibrium asset prices"", Journal of Finance 35, 1105-1113.",http://forum.johnson.cornell.edu/faculty/jarrow/004%20Heterogeneous%20Expectations%20JF%201980.pdf,z1_theory,not empirical,NA,NA
1973,NA,NA,State variables representing future investment opportunity,THEORY,Common financial/macro,Econometrica,Merton (1973),"Merton, Robert C., 1973, ``An intertemporal capital asset pricing model"", Econometrica 41, 867-887.",http://www.jstor.org/stable/pdfplus/1913811.pdf,z1_theory,not empirical,NA,NA
1986,NA,NA,Transaction costs,THEORY,Common microstructure,Journal of Political Economy,Constantinides (1986),"Constantinides, George, 1986, ``Capital market equilibrium with transaction costs"", Journal of Political Economy 94, 842-862.",http://www.jstor.org/stable/10.2307/1833205,z1_theory,not empirical,NA,NA
1981,NA,NA,World consumption,THEORY,Common macro,Journal of Financial Economics,Stulz (1981),"Stulz, Rene M., 1981, ``A model of international asset pricing"", Journal of Financial Economics 9, 383-406.",http://www.sciencedirect.com/science/article/pii/0304405X81900052,z1_theory,not empirical,NA,NA
1974,NA,NA,World market return,THEORY,Common financial,Journal of Economic Theory,Solnik (1974),"Solnik, Bruno, 1974, ``An equilibrium model of the international capital market"", Journal of Economic Theory 8, 500-524.",http://www.sciencedirect.com/science/article/pii/0022053174900246,z1_theory,not empirical,NA,NA
2013,NA,201,Attenuated returns,Composite trading strategy returns where the weights are based on averaging percentile rank scores of various characteristics for each stock on portfolios,Individual financial,Working Paper,"Chordia, Subrahmanyam and Tong (2013)","Chordia, Tarun, Avanidhar Subrahmanyam and Qing Tong, 2013, Trends in capital market anomalies, Working Paper, Emory University.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2029057,z2_notfirm,no cross sectional predictability,JAE,https://www.sciencedirect.com/science/article/pii/S0165410114000275
NA,NA,NA,Consumption growth volatility,Consumption growth volatility shocks identified from the risk-free rate and market price-dividend ratio based on Bansal and Yaron (2005)'s long-run risk model,Common macro,Journal of Financial Economics,"Ferson, Nallareddy and Xie (2012)","Ferson Wayne, Suresh Nallareddy and Biqin Xie, 2012, ``The ``out-of-sample"" performance of long run risk models"", Journal of Financial Economics 107, 537-556.",http://www.sciencedirect.com/science/article/pii/S0304405X12001912,z2_notfirm,no cross sectional predictability,NA,NA
2013,112,NA,Cross-sectional pricing inefficiency,"Pricing inefficiency proxied by returns to simulated trading strategies that capture momentum, profitability, value, earnings and reversal",Common microstructure,Working Paper,"Akbas, Armstrong, Sorescu and Subrahmanyam (2013)","Akbas, Ferhat, Will Armstrong, Sorin Sorescu and Avanidhar Subrahmanyam, 2013, Time varying market efficiency in the cross-section of expected stock returns, Working Paper, University of Kansas.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2022485,z2_notfirm,no cross sectional predictability,JFQA,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/47C2A80634AE215BF7D8A58ED12EA0D4/S0022109016000223a.pdf/capital_market_efficiency_and_arbitrage_efficacy.pdf
2013,111,NA,Expected dividend growth,Expected dividend growth based on a macro time-series model,Common financial,Working Paper,"Doskov, Pekkala and Ribeiro (2013)","Doskov, Nikolay, Tapio Pekkala and Ruy Ribeiro, 2013, ``Tradable macro risk factors and the cross-section of stock returns"", Working Paper.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2200889,z2_notfirm,no cross sectional predictability,WP,NA
2013,110,NA,Expected dividend level,Expected dividend level based on a macro time-series model,Common financial,Working Paper,"Doskov, Pekkala and Ribeiro (2013)","Doskov, Nikolay, Tapio Pekkala and Ruy Ribeiro, 2013, ``Tradable macro risk factors and the cross-section of stock returns"", Working Paper.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2200889,z2_notfirm,no cross sectional predictability,WP,NA
2007,65,NA,Fourth-quarter to fourth-quarter consumption growth,Fourth-quarter to fourth-quarter consumption growth rate,Common macro,Journal of Finance,Jagannathan and Wang  (2007),"Jagannathan, Ravi and Yong Wang, 2007, ``Lazy investors, discretionary consumption, and the cross-section of stock returns"", Journal of Finance 62, 1623-1661.",http://www.jstor.org/stable/pdfplus/4622313.pdf,z2_notfirm,no cross sectional predictability,NA,NA
2003,34,NA,GDP growth news,GDP growth news obtained from predictive regressions on lagged equity and fixed-income portfolios,Common macro,Journal of Financial Economics,Vassalou (2003),"Vassalou, Maria, 2003, ``News related to future GDP growth as a risk factor in equity returns"", Journal of Financial Economics 68, 46-73.",http://www.sciencedirect.com/science/article/pii/S0304405X02002489#,z2_notfirm,no cross sectional predictability,NA,NA
2004,36,NA,Idiosyncratic consumption,Cross-sectional consumption growth variance,Common macro,Journal of Finance,Jacobs and Wang (2004),"Jacobs, Kris and Kevin Q. Wang, 2004, ``Idiosyncratic consumption risk and the cross section of asset returns"", Journal of Finance 59, 2211-2252.",http://www.jstor.org/stable/pdfplus/3694822.pdf,z2_notfirm,no cross sectional predictability,NA,NA
NA,NA,NA,Interaction between index and option return,Product of market and option returns,Common financial,Review of Financial Studies,Vanden (2006),"Vanden, Joel M., 2006, ``Option coskewness and capital asset pricing"", Review of Financial Studies 19, 1279-1320.",http://www.jstor.org/stable/pdfplus/4123474.pdf,z2_notfirm,no cross sectional predictability,NA,NA
2011,90,NA,Investment portfolio return,Difference between returns of portfolios with low and high investment-to-asset ratio,Common financial,Working Paper,"Chen, Novy-Marx and Zhang (2011)","Chen, Long, Robert Novy-Marx and Lu Zhang, ``An alternative three-factor model"", Working Paper.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1418117,z2_notfirm,no cross sectional predictability,NA,NA
2009,83,NA,Investors' beliefs,Belief extracted from a two-state regime-switching model of aggregate market return and aggregate output,Common other,Review of Financial Studies,Ozoguz (2008),"Ozoguz, Arzu, 2009, ``Good times or bad times? Investor's uncertainty and stock returns"", Review of Financial Studies 22, 4378-4422.",http://rfs.oxfordjournals.org/content/22/11/4377.full.pdf+html,z2_notfirm,no cross sectional predictability,NA,NA
NA,84,NA,Investors' uncertainty,Uncertainty extracted from a two-state regime-switching model of aggregate market return and aggregate output,Common other,Review of Financial Studies,Ozoguz (2008),"Ozoguz, Arzu, 2009, ``Good times or bad times? Investor's uncertainty and stock returns"", Review of Financial Studies 22, 4378-4422.",http://rfs.oxfordjournals.org/content/22/11/4377.full.pdf+html,z2_notfirm,no cross sectional predictability,NA,NA
2011,104,NA,Knightian uncertainty,Knightian uncertainty estimated from an investor's optimization problem under Knightian uncertainty,Common financial,Working Paper,"Viale, Garcia-Feijoo and Giannetti (2011)","Viale, Ariel M., Luis Garcia-Feijoo and Antoine Giannetti, 2012,  ``Safety first, robust dynamic asset pricing, and the cross-section of expected stock returns"", Working Paper.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1782081,z2_notfirm,no cross sectional predictability,RAPS,https://academic.oup.com/raps/article/4/1/118/1941606
2012,103,NA,Learning,Learning estimated from an investor's optimization problem under Knightian uncertainty,Common financial,Working Paper,"Viale, Garcia-Feijoo and Giannetti (2011)","Viale, Ariel M., Luis Garcia-Feijoo and Antoine Giannetti, 2012,  ``Safety first, robust dynamic asset pricing, and the cross-section of expected stock returns"", Working Paper.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1782081,z2_notfirm,no cross sectional predictability,RAPS,https://academic.oup.com/raps/article/4/1/118/1941606
2012,NA,NA,Long-run consumption growth,Long-run consumption growth rate identified from the risk-free rate and market price-dividend ratio based on Bansal and Yaron (2005)'s long-run risk model,Common macro,Journal of Financial Economics,"Ferson, Nallareddy and Xie (2012)","Ferson Wayne, Suresh Nallareddy and Biqin Xie, 2012, ``The ``out-of-sample"" performance of long run risk models"", Journal of Financial Economics 107, 537-556.",http://www.sciencedirect.com/science/article/pii/S0304405X12001912,z2_notfirm,no cross sectional predictability,NA,NA
2009,79,NA,Long-run stockholder consumption growth,Aggregated microlevel stockholder consumption,Common macro,Journal of Finance,"Malloy, Moskowitz and Vissing-Jorgensen (2009)","Malloy, Christopher J., Tobias J. Moskowitz and Annette Vissing-Jorgensen, 2009, ``Long-run stockholder consumption risk and asset returns"", Journal of Finance 64, 2427-2479.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2009.01507.x/pdf,z2_notfirm,no cross sectional predictability,NA,NA
1986,10,NA,Long-term interest rate,Change in the yield of long-term government bonds,Common financial,Journal of Finance,Sweeney and Warga (1986),"Sweeney, Richard J. and Arthur D. Warga, 1986, ``The pricing of interest-rate risk: evidence from the stock market"", Journal of Finance 41, 393-410.",http://www.jstor.org/stable/pdfplus/2328443.pdf,z2_notfirm,no cross sectional predictability,NA,NA
2011,NA,NA,Market return,Equity index return,Common financial,Working Paper,"Chen, Novy-Marx and Zhang (2011)","Chen, Long, Robert Novy-Marx and Lu Zhang, ``An alternative three-factor model"", Working Paper.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1418117,z2_notfirm,no cross sectional predictability,NA,NA
2006,NA,NA,Market return,Equity index return,Common financial,Journal of Finance,Lo and Wang (2006),"Lo, Andrew W. and Jiang Wang, 2006, ``Trading volume: Implications of an intertemporal capital asset pricing model"", Journal of Finance 61, 2805-2840.",http://www.jstor.org/stable/pdfplus/4123445.pdf,z2_notfirm,no cross sectional predictability,NA,NA
2006,NA,NA,Market return,Equity index return and its square,Common financial,Review of Financial Studies,Vanden (2006),"Vanden, Joel M., 2006, ``Option coskewness and capital asset pricing"", Review of Financial Studies 19, 1279-1320.",http://www.jstor.org/stable/pdfplus/4123474.pdf,z2_notfirm,no cross sectional predictability,NA,NA
2006,56,NA,Retail investor sentiment,Systematic retail trading based on transaction data,Common behavioral,Journal of Finance,Kumar and Lee (2006),"Kumar, Alok and Charles M. C. Lee, 2006, ``Retail investor sentiment and return comovement"", Journal of Finance 61, 2451-2486.",http://www.jstor.org/stable/pdfplus/3874716.pdf,z2_notfirm,no cross sectional predictability,NA,NA
NA,NA,NA,Short-run consumption growt,Short-run consumption growth rate identified from the risk-free rate and market price-dividend ratio based on Bansal and Yaron (2005)'s long-run risk model,Common macro,Journal of Financial Economics,"Ferson, Nallareddy and Xie (2012)","Ferson Wayne, Suresh Nallareddy and Biqin Xie, 2012, ``The ``out-of-sample"" performance of long run risk models"", Journal of Financial Economics 107, 537-556.",http://www.sciencedirect.com/science/article/pii/S0304405X12001912,z2_notfirm,no cross sectional predictability,NA,NA
NA,3,NA,Squared market return,Square of equity index return,Common financial,Journal of Finance,Kraus and Litzenberger (1976),"Kraus, Alan and Robert H. Litzenberger, 1976, ``Skewness preference and the valuation of risk assets"", Journal of Finance 31, 1085-1100.
",http://www.jstor.org/stable/2326275.pdf,z2_notfirm,no cross sectional predictability,NA,NA
1981,4,NA,Treasury bill return,Principle components extracted from returns of Treasury bills,Common financial,Journal of Finance,Oldfield and Rogalski (1981),"Oldfield, George S. and Richard J. Rogalski, 1981, ``Treasury bill factors and common stock returns"", Journal of Finance 36, 337-350.",http://www.jstor.org/stable/pdfplus/2327015.pdf,z2_notfirm,no cross sectional predictability,NA,NA
2011,NA,NA,Distress risk,Aggregate distress risk obtained by projecting future business failure growth rates on a set of basis assets,Common financial,Journal of Financial Economics,Kapadia (2011),"Kapadia, Nishad, 2011, ``Tracking down distress risk"", Journal of Financial Economics 102, 167-182.",http://www.sciencedirect.com/science/article/pii/S0304405X11001164#,z2_notfirm,no cross sectional predictability,NA,NA
NA,NA,NA,Change in G-7 industrial production,Change in G-7 industrial production,Common macro,Review of Financial Studies,Ferson and Harvey (1993),"Ferson, Wayne E. and Campbell R. Harvey, 1993, ``The risk and predictability of international equity returns"", Review of Financial Studies 6, 527-566.",http://www.jstor.org./stable/pdfplus/2961978.pdf,z2_notfirm,not company stocks,NA,targets country portfolios
